timestamp,host,metric,value,unit,region,env
2024-01-20T00:00:00Z,web-01,cpu_usage,45.2,percent,us-east,prod
2024-01-20T00:00:00Z,web-01,memory_usage,67.8,percent,us-east,prod
2024-01-20T00:00:00Z,web-01,disk_io,1250,mbps,us-east,prod
2024-01-20T00:00:00Z,web-02,cpu_usage,52.1,percent,us-east,prod
2024-01-20T00:00:00Z,web-02,memory_usage,71.3,percent,us-east,prod
2024-01-20T00:00:00Z,web-02,disk_io,980,mbps,us-east,prod
2024-01-20T00:00:00Z,db-01,cpu_usage,78.9,percent,us-west,prod
2024-01-20T00:00:00Z,db-01,memory_usage,89.2,percent,us-west,prod
2024-01-20T00:00:00Z,db-01,disk_io,3200,mbps,us-west,prod
2024-01-20T00:05:00Z,web-01,cpu_usage,48.7,percent,us-east,prod
2024-01-20T00:05:00Z,web-01,memory_usage,68.1,percent,us-east,prod
2024-01-20T00:05:00Z,web-01,disk_io,1180,mbps,us-east,prod
2024-01-20T00:05:00Z,web-02,cpu_usage,55.3,percent,us-east,prod
2024-01-20T00:05:00Z,web-02,memory_usage,72.0,percent,us-east,prod
2024-01-20T00:05:00Z,web-02,disk_io,1050,mbps,us-east,prod
2024-01-20T00:05:00Z,db-01,cpu_usage,82.4,percent,us-west,prod
2024-01-20T00:05:00Z,db-01,memory_usage,91.5,percent,us-west,prod
2024-01-20T00:05:00Z,db-01,disk_io,3450,mbps,us-west,prod
2024-01-20T00:00:00Z,staging-01,cpu_usage,12.3,percent,eu-west,staging
2024-01-20T00:00:00Z,staging-01,memory_usage,34.5,percent,eu-west,staging
2024-01-20T00:00:00Z,staging-01,disk_io,450,mbps,eu-west,staging
2024-01-20T00:05:00Z,staging-01,cpu_usage,15.8,percent,eu-west,staging
2024-01-20T00:05:00Z,staging-01,memory_usage,36.2,percent,eu-west,staging
2024-01-20T00:05:00Z,staging-01,disk_io,520,mbps,eu-west,staging
